Hotel,Location
The Grand Escape,New York
Sunrise Suites,Los Angeles
Oceanview Inn,San Francisco
The Velvet Rose,Houston
Majestic Horizon,Phoenix
The Alpine Lodge,Philadelphia
Azure Bliss,San Antonio
Golden Sands Resort,San Diego
Emerald Retreat,Dallas
The Gilded Lily,San Jose
The Sapphire Stay,Austin
Crimson Cove,Jacksonville
The Whispering Pines,Fort Worth
The Starlight Haven,Columbus
The Enchanted Elm,Charlotte
The Regal Roost,San Francisco
Aurora Heights,Indianapolis
Serenity Shores,Seattle
Silver Sky Suites,Denver
The Urban Monarch,Washington D.C.
The Monarch Manor,Boston
Celestial Chateau,El Paso
The Sunset Pavilion,Detroit
Ivory Coast Inn,Nashville
The Noble Nest,Portland
Mystic Meadow Lodge,Memphis
The Opulent Oasis,Oklahoma City
Lakeside Luxe,Las Vegas
Velvet Valley Retreat,Louisville
The Amber Abode,Baltimore
